,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
0,VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,166084380.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
1,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/303547143/,Москва,sale,flat,14,44,2,68.8,45500000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
2,ID 18174647,realtor,https://www.cian.ru/sale/flat/301450189/,Москва,sale,flat,26,31,5,246.7,292256347.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
3,Sminex,developer,https://www.cian.ru/sale/flat/306341798/,Москва,sale,flat,4,12,2,86.1,222830000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
4,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/308064330/,Москва,sale,flat,5,19,3,97.36,65000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд3,Шелепиха,Сердце Столицы
5,ID 20374442,unknown,https://www.cian.ru/sale/flat/305913352/,Москва,sale,flat,12,14,2,53.0,18700000.0,Преображенское,Большая Черкизовская ,20К4,Преображенская площадь,
6,VESPER,developer,https://www.cian.ru/sale/flat/308803465/,Москва,sale,flat,1,6,2,173.3,363930000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон
7,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299525140/,Москва,sale,flat,4,5,4,76.0,50000000.0,Якиманка, Серафимовича,5/16,Боровицкая,
8,ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/306823110/,Москва,sale,flat,5,8,2,82.4,77456000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
9,MR Group,developer,https://www.cian.ru/sale/flat/309385064/,Москва,sale,flat,2,28,2,57.7,22164301.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
10,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/300276890/,Москва,sale,flat,9,14,5,136.0,92000000.0,Раменки,проспект Генерала Дорохова,39к2В,Минская,Собрание клубных домов West Garden
11,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309516529/,Москва,sale,flat,3,8,2,57.0,48950000.0,Тверской,Тверская ,17,Пушкинская,
12,VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,82172522.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
13,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
14,Екатерина Колесникова,realtor,https://www.cian.ru/sale/flat/309446111/,Москва,sale,flat,13,17,1,38.7,14400000.0,Кунцево,Кунцевская ,4К1,Рабочий посёлок,
15,КОРТРОС,developer,https://www.cian.ru/sale/flat/306476093/,Москва,sale,flat,4,49,2,59.05,23541463.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
16,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
17,ID 103843695,homeowner,https://www.cian.ru/sale/flat/309566682/,Москва,sale,flat,10,17,2,53.9,19000000.0,,проспект Прокшинский,12,Прокшино,Прокшино
18,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243023/,Москва,sale,flat,9,27,2,69.4,32340400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
19,Рента,real_estate_agent,https://www.cian.ru/sale/flat/307983948/,Москва,sale,flat,3,9,5,234.8,125000000.0,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо
20,ID 85604823,unknown,https://www.cian.ru/sale/flat/309407725/,Москва,sale,flat,6,41,2,42.0,30000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
21,Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,78166361.0,Даниловский,,,Павелецкая,Опус ЖК
22,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309704350/,Москва,sale,flat,9,25,3,129.9,55000000.0,Солнцево, Главмосстроя,10,Говорово,
23,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/275836899/,Москва,sale,flat,11,12,5,303.0,539399299.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
24,Capital Group,developer,https://www.cian.ru/sale/flat/309666338/,Москва,sale,flat,11,18,2,45.8,56907301.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
25,ID 66343953,realtor,https://www.cian.ru/sale/flat/308460499/,Москва,sale,flat,19,30,3,136.0,68800000.0,Очаково-Матвеевское,Нежинская ,1к4,Славянский бульвар,Кутузовская Ривьера
26,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/309516009/,Москва,sale,flat,5,7,5,357.3,550000000.0,Хамовники,Колымажный переулок,10,Кропоткинская,Колымажный 10
27,Sminex,developer,https://www.cian.ru/sale/flat/309389694/,Москва,sale,flat,2,5,2,91.8,193640000.0,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
28,VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,129729600.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
29,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва,sale,flat,80,85,4,294.6,412440000.0,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
30,Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,175450000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
31,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,41.0,26900000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
32,СТ Тауэрс,developer,https://www.cian.ru/sale/flat/308919134/,Москва,sale,flat,2,78,2,54.9,46939500.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
33,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/309186192/,Москва,sale,flat,12,34,2,62.7,55000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
34,ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,71281684.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
35,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/309188522/,Москва,sale,flat,22,34,3,83.6,85000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
36,Пионер,developer,https://www.cian.ru/sale/flat/307217514/,Москва,sale,flat,4,39,2,35.4,32313580.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
37,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/306567075/,Москва,sale,flat,2,10,3,115.0,101000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
38,Киноцентр,developer,https://www.cian.ru/sale/flat/308070371/,Москва,sale,flat,4,20,2,45.2,42460609.0,Пресненский, Красная Пресня,3,Краснопресненская,SkyView
39,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,250000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
40,UNIQ Development,developer,https://www.cian.ru/sale/flat/307668269/,Москва,sale,flat,6,25,2,61.6,48664000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs
41,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303777811/,Москва,sale,flat,29,34,-1,330.0,462000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
42,Tekta Group,developer,https://www.cian.ru/sale/flat/301259741/,Москва,sale,flat,24,42,2,43.0,21712640.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
43,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679511/,Москва,sale,flat,11,20,4,90.71,32501393.0,Даниловский,Автозаводская ,26,Тульская,FORST
44,Capital Group,developer,https://www.cian.ru/sale/flat/309631122/,Москва,sale,flat,3,6,2,248.3,313067200.0,Якиманка,Софийская набережная,10,,"Золотой, жилой квартал"
45,ID 32204036,realtor,https://www.cian.ru/sale/flat/309011143/,Москва,sale,flat,2,22,4,134.5,78800000.0,Якиманка,Мытная ,40к1,Серпуховская,Sky House
46,MR Group,developer,https://www.cian.ru/sale/flat/308088531/,Москва,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
47,MR Group,developer,https://www.cian.ru/sale/flat/309432129/,Москва,sale,flat,6,13,2,85.19,127282379.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
48,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/278055108/,Москва,sale,flat,4,5,-1,222.0,211135799.0,Хамовники,2-й Обыденский переулок,15,Кропоткинская,
49,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,51812800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
50,Главстрой,developer,https://www.cian.ru/sale/flat/307942345/,Москва,sale,flat,2,13,2,63.64,26717026.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
51,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308015928/,Москва,sale,flat,28,37,4,177.3,215000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
52,MR Group,developer,https://www.cian.ru/sale/flat/300287890/,Москва,sale,flat,5,43,2,57.89,26965162.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
53,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679858/,Москва,sale,flat,11,20,3,87.02,32910964.0,Даниловский,,,Тульская,Форст ЖК
54,COLDY,developer,https://www.cian.ru/sale/flat/308462308/,Москва,sale,flat,7,15,2,53.7,50408190.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
55,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/298128369/,Москва,sale,flat,3,6,-1,119.0,63000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
56,PIONEER,developer,https://www.cian.ru/sale/flat/306809947/,Москва,sale,flat,2,22,2,45.8,23267700.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
57,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/293126875/,Москва,sale,flat,21,23,4,244.1,78000000.0,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
58,Среда,developer,https://www.cian.ru/sale/flat/303859067/,Москва,sale,flat,6,27,2,53.9,18632691.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
59,Центрис,real_estate_agent,https://www.cian.ru/sale/flat/307655813/,Москва,sale,flat,4,5,-1,380.0,600000000.0,Хамовники, Усачева,11К,Спортивная,Садовые кварталы
60,Tekta Group,developer,https://www.cian.ru/sale/flat/309371134/,Москва,sale,flat,6,22,2,39.9,18094650.0,Нагорный,,,Нагорная,Twelve
61,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/304737194/,Москва,sale,flat,3,21,3,92.2,98285200.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
62,Absolute Premium,developer,https://www.cian.ru/sale/flat/308261021/,Москва,sale,flat,9,18,2,66.2,81396000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
63,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/304817322/,Москва,sale,flat,3,21,3,92.2,98285200.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
64,КОРТРОС,developer,https://www.cian.ru/sale/flat/306796067/,Москва,sale,flat,18,51,2,45.9,21923217.0,Пресненский,Шелепихинское шоссе,,Шелепиха,Headliner
65,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/305736633/,Москва,sale,flat,35,41,3,97.4,95000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
66,Tekta Group,developer,https://www.cian.ru/sale/flat/309340831/,Москва,sale,flat,12,34,2,42.4,22425360.0,Обручевский,,,Воронцовская,Эвер ЖК
67,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/299896056/,Москва,sale,flat,6,6,-1,430.0,800000000.0,Хамовники,Бутиковский переулок,3,Парк Культуры,Cooper house
68,3SGroup,developer,https://www.cian.ru/sale/flat/306553685/,Москва,sale,flat,19,29,2,55.6,19633306.0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
69,INVEST7,real_estate_agent,https://www.cian.ru/sale/flat/308631292/,Москва,sale,flat,11,19,3,75.0,36000000.0,Пресненский, Пресненский Вал,21,Белорусская,Пресненский вал 21
70,Sminex,developer,https://www.cian.ru/sale/flat/306341785/,Москва,sale,flat,2,12,1,83.3,175590000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
71,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779271/,Москва,sale,flat,4,8,3,70.0,67015947.0,Хамовники,Смоленский бульвар,22/14,Смоленская,
72,Среда,developer,https://www.cian.ru/sale/flat/304753637/,Москва,sale,flat,2,12,2,55.65,19446336.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
73,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309566629/,Москва,sale,flat,5,7,5,194.0,290000000.0,Пресненский,Малая Бронная ,14,Пушкинская,
74,TOUCH,developer,https://www.cian.ru/sale/flat/302838481/,Москва,sale,flat,6,13,2,60.6,35473620.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
75,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296779510/,Москва,sale,flat,2,7,3,108.0,48500000.0,Тверской,1-я Миусская ,24/22С4,Менделеевская,
76,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196116/,Москва,sale,flat,2,19,2,62.8,26242362.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
77,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296282173/,Москва,sale,flat,5,21,4,222.8,111400000.0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
78,VESPER,developer,https://www.cian.ru/sale/flat/307544571/,Москва,sale,flat,2,21,3,157.8,165216600.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
79,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679467/,Москва,sale,flat,4,20,2,64.29,24166611.0,Даниловский,Автозаводская ,26,Тульская,FORST
80,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196512/,Москва,sale,flat,4,20,2,36.0,14260428.0,Головинский,Михалковская ,48С4,Коптево,Михалковский
81,ID 103676502,homeowner,https://www.cian.ru/sale/flat/308380732/,Москва,sale,flat,28,32,4,133.0,73000000.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
82,ID 112071240,homeowner,https://www.cian.ru/sale/flat/309347738/,Москва,sale,flat,4,5,2,44.0,18950000.0,Савеловский,Башиловская ,25,Дмитровская,
83,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307224654/,Москва,sale,flat,5,6,3,151.0,149900000.0,Пресненский,Большой Патриарший переулок,14/27,Пушкинская,
84,Екатерина Сухий,realtor,https://www.cian.ru/sale/flat/309669307/,Москва,sale,flat,4,9,2,43.1,27900000.0,Аэропорт,Ленинградский проспект,54/1,Аэропорт,
85,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300020827/,Москва,sale,flat,8,17,2,65.0,18499000.0,,Родниковая ,30к3,Саларьево,Румянцево-Парк
86,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309180264/,Москва,sale,flat,5,7,2,65.0,65000000.0,Хамовники,1-й Зачатьевский переулок,4,Кропоткинская,
87,Екатерина Трипольская,realtor,https://www.cian.ru/sale/flat/308788985/,Москва,sale,flat,8,12,3,94.0,49000000.0,Видовая кв-ра в е Мосфильма3-комн. квартира,94 м²,,,
88,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299605341/,Москва,sale,flat,8,10,2,53.3,12700000.0,Люблино, Марьинский Парк,41К2,Люблино,
89,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308889163/,Москва,sale,flat,2,6,3,74.0,67500000.0,Пресненский,Богословский переулок,7,Пушкинская,
90,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308946636/,Москва,sale,flat,6,6,3,72.3,47750000.0,Красносельский,Милютинский переулок,19/4С2,Сретенский бульвар,
91,Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/303866269/,Москва,sale,flat,42,44,-1,69.3,53000000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
92,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907053/,Москва,sale,flat,7,14,3,206.0,294217799.0,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной
93,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308074172/,Москва,sale,flat,8,11,3,134.5,90000000.0,Якиманка, Серафимовича,2,Боровицкая,
94,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302398135/,Москва,sale,flat,5,17,3,105.0,130000000.0,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide
95,Антон Ермолаев,realtor,https://www.cian.ru/sale/flat/309244266/,Москва,sale,flat,3,5,3,84.6,57990000.0,Пресненский,Трехпрудный переулок,11/13С1,Маяковская,
96,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306503110/,Москва,sale,flat,5,5,3,133.8,96200000.0,Замоскворечье, Малая Ордынка,13С1,Третьяковская,
97,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307151489/,Москва,sale,flat,4,5,4,98.5,46000000.0,Тверской,2-й Волконский переулок,12,Цветной бульвар,
98,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907057/,Москва,sale,flat,5,21,2,64.76,67490000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
99,ID 13490946,homeowner,https://www.cian.ru/sale/flat/307548226/,Москва,sale,flat,9,17,2,54.0,19499000.0,Марфино,Большая Марфинская ,1к1,Фонвизинская,
100,Донстрой,developer,https://www.cian.ru/sale/flat/308969989/,Москва,sale,flat,2,49,2,69.7,30939830.0,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК
101,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309587593/,Москва,sale,flat,4,21,2,64.5,64500000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
102,ID 9734212,real_estate_agent,https://www.cian.ru/sale/flat/299366197/,Москва,sale,flat,15,18,3,70.5,22999000.0,Северное Тушино, Вилиса Лациса,38к1,Планерная,
103,MR Group,developer,https://www.cian.ru/sale/flat/308399369/,Москва,sale,flat,5,11,2,75.79,56842500.0,Филевский парк,,,Фили,Фили Сити ЖК
104,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/307659999/,Москва,sale,flat,4,5,-1,385.0,600000000.0,Хамовники, Усачева,11К,Спортивная,Садовые кварталы
105,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295368854/,Москва,sale,flat,4,6,4,192.0,105000000.0,Тверской, Малая Дмитровка,23/15С1,Пушкинская,
106,Ташир,developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,27842030.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
107,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309581149/,Москва,sale,flat,8,10,4,221.0,250000000.0,Пресненский, Климашкина,17С2,Улица 1905 года,Панорама
108,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/309388794/,Москва,sale,flat,3,22,4,155.4,43000000.0,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2
109,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040443/,Москва,sale,flat,5,5,3,183.1,174494300.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
110,ID 413522,realtor,https://www.cian.ru/sale/flat/304329878/,Москва,sale,flat,11,11,4,303.0,501000000.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
111,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298274016/,Москва,sale,flat,11,17,1,37.6,10800000.0,, Бориса Пастернака,49,Мичуринец,
112,Sense Development,developer,https://www.cian.ru/sale/flat/298147700/,Москва,sale,flat,12,13,2,64.8,41552218.0,Даниловский, Даниловский Вал,1А,Тульская,Logos
113,Yhome,real_estate_agent,https://www.cian.ru/sale/flat/308955512/,Москва,sale,flat,5,21,3,117.0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
114,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300883472/,Москва,sale,flat,2,5,3,140.0,195300614.0,Мещанский,Рождественский бульвар,10/7С1,Трубная,
115,Донстрой,developer,https://www.cian.ru/sale/flat/309447751/,Москва,sale,flat,8,25,2,66.2,23395080.0,Лефортово,,,Римская,Символ ЖК
116,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,117.0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
117,Фаворит групп,real_estate_agent,https://www.cian.ru/sale/flat/309612930/,Москва,sale,flat,6,6,3,68.0,46300000.0,Басманный, Покровка,38С1,Курская,
118,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308473239/,Москва,sale,flat,2,27,2,49.5,21424689.0,Щукино,,,Щукинская,Октябрьское Поле ЖК
119,Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/307706757/,Москва,sale,flat,4,5,-1,380.0,600000000.0,Хамовники, Усачева,11К,Спортивная,Садовые кварталы
120,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/305640017/,Москва,sale,flat,3,5,5,155.0,85000000.0,Арбат, Арбат,40,Смоленская,
121,COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,2,14,2,147.05,396593850.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
122,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380718/,Москва,sale,flat,4,5,4,183.6,215759719.0,Арбат,Большой Кисловский переулок,4С1,Библиотека им. Ленина,
123,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113533/,Москва,sale,flat,47,47,3,131.9,59355000.0,Бутырский,Новодмитровская ,2к5,Дмитровская,Савеловский Сити
124,Sminex,developer,https://www.cian.ru/sale/flat/308011961/,Москва,sale,flat,3,6,2,207.3,592530000.0,Хамовники,3-й Обыденский переулок,1С1,Кропоткинская,Клубный дом Обыденский № 1
125,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309123147/,Москва,sale,flat,2,10,4,200.0,200000000.0,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
126,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309513210/,Москва,sale,flat,32,36,3,113.0,140000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
127,Sminex,developer,https://www.cian.ru/sale/flat/306566186/,Москва,sale,flat,3,14,2,90.0,88360000.0,Пресненский,Электрический переулок,1кАБ,Белорусская,Элитный квартал Тишинский бульвар
128,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309334200/,Москва,sale,flat,2,11,4,199.0,200000000.0,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
129,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309582298/,Москва,sale,flat,12,14,4,135.9,79000000.0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ,ЗИЛАРТ
130,Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,32609630.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
131,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907056/,Москва,sale,flat,3,15,5,125.5,115000000.0,Даниловский,набережная Марка Шагала,1к2,ЗИЛ,ЗИЛАРТ
132,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309115042/,Москва,sale,flat,1,5,2,68.9,15500000.0,Лефортово,2-я Кабельная ,10,Авиамоторная,
133,Сумма Элементов,developer,https://www.cian.ru/sale/flat/309379633/,Москва,sale,flat,14,85,2,71.56,54208108.0,Пресненский,,,,Дом Дау
134,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907051/,Москва,sale,flat,9,32,2,62.7,49800000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
135,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308163402/,Москва,sale,flat,12,12,4,230.0,460000000.0,Мещанский,Цветной бульвар,2,Трубная,Легенда Цветного
136,Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306946314/,Москва,sale,flat,2,6,2,44.2,26078000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
137,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309003049/,Москва,sale,flat,4,11,2,67.31,72000000.0,Дорогомилово,,3к3,Парк Победы,Виктори Парк Резиденсез ЖК
138,Forma,developer,https://www.cian.ru/sale/flat/299852244/,Москва,sale,flat,16,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
139,Dominanta,developer,https://www.cian.ru/sale/flat/304842271/,Москва,sale,flat,16,34,2,56.1,36913800.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT
140,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/305741064/,Москва,sale,flat,4,9,4,204.0,300000000.0,Хамовники,Погодинская ,4,Фрунзенская,GRAND DELUXE на Плющихе
141,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/293030412/,Москва,sale,flat,3,9,4,225.7,169275000.0,Арбат,Филипповский переулок,8С1,Кропоткинская,Филипповский
142,Sminex,developer,https://www.cian.ru/sale/flat/294328857/,Москва,sale,flat,3,6,2,124.3,275710000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
143,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306942080/,Москва,sale,flat,37,41,3,97.2,70000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
144,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307575540/,Москва,sale,flat,4,21,2,54.0,58000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
145,MR Group,developer,https://www.cian.ru/sale/flat/309403683/,Москва,sale,flat,2,46,1,29.4,16052253.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
146,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/307661723/,Москва,sale,flat,2,11,4,147.36,184900000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
